	0
2009Jun21_18	1
2009Jun22_16	2
2009Jun23_17	2
2009Jun24_02	1
2009Jun24_12	1
2009Jun24_17	3
2009Jun24_19	1
2009Jun24_20	1
2009Jun24_22	1
2009Jun26_02	1
2009Jun26_16	1
2009Jun29_02	1
2009Jun29_15	6
2009Jun29_19	1
2009Jun30_03	1
2009Jun30_11	1
2009Mar04_10	1
2009Mar12_20	3
2009Mar13_06	1
2009Mar14_01	1
2009Mar15_14	1
2009Mar16_03	1
2009Mar17_02	1
2009Mar21_20	1
2009Mar23_08	1
2009Mar24_22	1
2009Mar26_00	1
2009Mar26_04	1
2009Mar26_20	1
2009Mar28_00	1
2009Mar30_11	5
2009May02_15	1
2009May03_21	1
2009May03_22	1
2009May04_14	1
2009May04_16	1
2009May07_15	1
2009May08_14	1
2009May10_04	1
2009May11_01	3
2009May11_03	1
2009May11_06	1
2009May12_03	5
2009May13_14	1
2009May14_11	1
2009May14_13	1
2009May14_19	2
2009May15_01	1
2009May16_20	1
2009May17_20	1
2009May18_00	2
2009May18_15	3
2009May19_09	1
2009May19_17	1
2009May20_23	1
2009May21_21	1
2009May22_13	1
2009May22_18	5
2009May23_07	1
2009May27_13	1
2009May28_03	1
2009May28_12	1
2009May28_22	2
2009May29_01	1
2009May29_20	1
2009May29_22	1
2009May30_14	2
2009May30_16	1
2009May31_04	1
2009May31_19	3
2009Nov01_16	1
2009Nov01_19	1
2009Nov02_15	1
2009Nov04_19	1
2009Nov05_18	1
2009Nov06_02	1
2009Nov06_16	1
2009Nov07_04	6
2009Nov07_10	3
2009Nov07_17	1
2009Nov07_19	1
2009Nov08_05	1
2009Nov08_09	2
2009Nov08_21	1
2009Nov08_23	2
2009Nov09_00	1
2009Nov09_20	1
2009Nov10_01	1
2009Nov10_17	1
2009Nov10_20	1
2009Nov11_15	1
2009Nov13_17	1
2009Nov14_20	1
2009Nov14_22	1
2009Nov16_00	1
2009Nov16_13	1
2009Nov17_10	1
2009Nov17_18	1
2009Nov18_19	1
2009Nov19_07	1
2009Nov19_08	1
2009Nov19_10	1
2009Nov19_13	2
2009Nov19_22	1
2009Nov20_17	1
2009Nov21_02	1
2009Nov21_05	1
2009Nov21_11	1
2009Nov21_13	1
2009Nov23_11	4
2009Nov23_12	1
2009Nov24_13	1
2009Nov25_15	1
2009Nov26_13	1
2009Nov27_13	1
2009Nov27_17	1
2009Nov27_21	1
2009Nov28_11	1
2009Nov28_12	1
2009Nov29_16	6
2009Nov30_00	1
2009Nov30_05	1
2009Nov30_10	1
2009Nov30_23	1
2009Oct01_04	1
2009Oct01_18	1
2009Oct02_03	2
2009Oct02_17	1
2009Oct02_20	1
2009Oct04_17	1
2009Oct04_18	1
2009Oct05_14	1
2009Oct06_01	1
2009Oct06_20	1
2009Oct07_19	1
2009Oct07_23	1
2009Oct08_13	1
2009Oct08_16	1
2009Oct09_03	2
2009Oct09_14	1
2009Oct12_02	1
2009Oct13_18	1
2009Oct13_20	1
2009Oct13_21	1
2009Oct14_21	1
2009Oct16_04	1
2009Oct16_21	1
2009Oct16_23	1
2009Oct17_00	2
2009Oct18_21	4
2009Oct19_14	1
2009Oct21_00	1
2009Oct23_18	1
2009Oct25_12	1
2009Oct26_04	1
2009Oct26_22	1
2009Oct27_15	1
2009Oct27_20	1
2009Oct27_21	1
2009Oct28_00	1
2009Oct28_01	1
2009Oct28_02	1
2009Oct28_16	1
2009Oct28_17	1
2009Oct28_22	1
2009Oct29_03	1
2009Oct29_06	1
2009Oct29_17	1
2009Oct30_05	1
2009Oct30_18	2
2009Oct31_11	1
2009Oct31_21	1
2009Sep01_13	3
2009Sep01_19	1
2009Sep02_21	3
2009Sep04_04	1
2009Sep05_01	1
2009Sep06_01	2
2009Sep06_16	1
2009Sep08_03	1
2009Sep08_19	3
2009Sep10_14	1
2009Sep10_17	1
2009Sep12_23	1
2009Sep14_17	1
2009Sep17_16	1
2009Sep17_18	1
2009Sep20_17	1
2009Sep21_04	1
2009Sep21_22	1
2009Sep22_23	1
2009Sep24_02	1
2009Sep24_17	5
2009Sep25_02	1
2009Sep25_12	1
2009Sep27_01	1
2009Sep27_15	1
2009Sep27_22	1
2009Sep28_03	1
2009Sep29_07	1
2010Apr01_19	1
2010Apr01_22	2
2010Apr02_07	1
2010Apr02_17	1
2010Apr03_02	1
2010Apr03_16	1
2010Apr03_17	1
2010Apr04_07	1
2010Apr05_03	1
2010Apr05_23	1
2010Apr06_06	3
2010Apr06_10	1
2010Apr06_11	1
2010Apr06_13	1
2010Apr06_15	1
2010Apr06_17	1
2010Apr06_19	1
2010Apr07_14	1
2010Apr07_20	1
2010Apr08_00	1
2010Apr08_14	1
2010Apr08_15	1
2010Apr08_18	1
2010Apr08_21	1
2010Apr09_02	2
2010Apr09_03	2
2010Apr09_05	1
2010Apr09_06	1
2010Apr09_15	1
2010Apr09_20	1
2010Apr10_06	1
2010Apr10_22	1
2010Apr11_03	1
2010Apr11_06	1
2010Apr11_10	1
2010Apr12_02	1
2010Apr12_08	1
2010Apr12_09	1
2010Apr12_11	1
2010Apr12_12	1
2010Apr12_14	1
2010Apr12_21	2
2010Apr12_22	1
2010Apr13_02	2
2010Apr13_14	1
2010Apr13_20	1
2010Apr13_21	1
2010Apr13_23	1
2010Apr14_01	1
2010Apr14_03	1
2010Apr14_13	1
2010Apr14_15	1
2010Apr14_21	1
2010Apr15_01	1
2010Apr15_14	1
2010Apr15_19	1
2010Apr16_00	2
2010Apr16_06	1
2010Apr16_07	1
2010Apr16_14	2
2010Apr16_20	1
2010Apr16_21	1
2010Apr16_22	1
2010Apr16_23	1
2010Apr17_13	1
2010Apr17_15	1
2010Apr17_17	1
2010Apr17_23	6
2010Apr18_05	1
2010Apr18_12	2
2010Apr18_20	1
2010Apr19_06	1
2010Apr19_07	1
2010Apr19_18	1
2010Apr20_00	3
2010Apr20_07	1
2010Apr20_20	1
2010Apr21_04	2
2010Apr21_15	1
2010Apr21_20	1
2010Apr21_23	1
2010Apr22_03	1
2010Apr22_08	1
2010Apr22_10	1
2010Apr22_12	1
2010Apr22_14	1
2010Apr22_23	1
2010Apr23_09	1
2010Apr23_14	1
2010Apr23_18	2
2010Apr24_02	2
2010Apr24_20	1
2010Apr24_21	1
2010Apr25_15	1
2010Apr26_01	1
2010Apr26_13	12
2010Apr26_17	2
2010Apr26_20	1
2010Apr26_21	1
2010Apr27_00	1
2010Apr27_09	1
2010Apr27_17	1
2010Apr29_02	1
2010Apr29_16	1
2010Apr30_04	1
2010Apr30_10	1
2010Apr30_13	2
2010Apr30_23	1
2010Aug01_01	1
2010Aug01_18	2
2010Aug01_20	2
2010Aug01_21	3
2010Aug02_01	1
2010Aug02_11	2
2010Aug02_16	1
2010Aug02_18	5
2010Aug02_21	1
2010Aug03_00	2
2010Aug03_04	1
2010Aug03_11	1
2010Aug03_13	1
2010Aug03_19	1
2010Aug03_21	1
2010Aug03_22	2
2010Aug03_23	1
2010Aug04_07	1
2010Aug04_13	1
2010Aug04_14	2
2010Aug04_21	1
2010Aug05_00	3
2010Aug05_04	1
2010Aug05_05	1
2010Aug05_08	3
2010Aug05_11	1
2010Aug05_12	1
2010Aug05_15	1
2010Aug05_18	1
2010Aug05_23	1
2010Aug06_03	1
2010Aug06_05	1
2010Aug06_08	1
2010Aug06_09	1
2010Aug06_14	1
2010Aug06_15	1
2010Aug06_16	1
2010Aug06_17	1
2010Aug06_19	1
2010Aug07_03	2
2010Aug07_06	1
2010Aug07_09	1
2010Aug07_13	1
2010Aug07_20	1
2010Aug07_21	3
2010Aug07_22	1
2010Aug08_00	1
2010Aug08_01	1
2010Aug08_05	1
2010Aug08_15	1
2010Aug08_16	2
2010Aug08_18	1
2010Aug08_19	1
2010Aug08_22	1
2010Aug09_00	1
2010Aug09_02	1
2010Aug09_03	1
2010Aug09_05	1
2010Aug09_10	11
2010Aug09_12	4
2010Aug09_13	1
2010Aug09_15	1
2010Aug09_16	2
2010Aug09_17	2
2010Aug09_20	1
2010Aug09_21	1
2010Aug10_01	1
2010Aug10_04	1
2010Aug10_21	1
2010Aug10_23	1
2010Aug11_00	2
2010Aug11_07	1
2010Aug11_08	2
2010Aug11_19	1
2010Aug11_20	1
2010Aug11_22	1
2010Aug12_01	1
2010Aug12_02	1
2010Aug12_03	4
2010Aug12_05	1
2010Aug12_08	1
2010Aug12_10	1
2010Aug12_15	1
2010Aug12_16	1
2010Aug12_17	1
2010Aug12_18	1
2010Aug12_19	1
2010Aug12_20	1
2010Aug12_22	1
2010Aug12_23	1
2010Aug13_01	2
2010Aug13_02	1
2010Aug13_03	1
2010Aug13_04	1
2010Aug13_16	1
2010Aug13_23	1
2010Aug14_01	1
2010Aug14_03	1
2010Aug14_05	1
2010Aug14_06	1
2010Aug14_09	3
2010Aug14_10	1
2010Aug14_13	1
2010Aug14_16	1
2010Aug14_18	1
2010Aug14_23	4
2010Aug15_01	1
2010Aug15_06	3
2010Aug15_08	1
2010Aug15_13	1
2010Aug15_14	1
2010Aug15_15	7
2010Aug15_16	1
2010Aug15_17	2
2010Aug15_19	1
2010Aug15_21	1
2010Aug15_23	2
2010Aug16_00	1
2010Aug16_01	1
2010Aug16_04	1
2010Aug16_07	2
2010Aug16_09	1
2010Aug16_15	3
2010Aug16_17	1
2010Aug16_23	1
2010Aug17_02	1
2010Aug17_04	1
2010Aug17_06	1
2010Aug17_11	1
2010Aug17_13	2
2010Aug17_14	1
2010Aug17_15	2
2010Aug17_16	3
2010Aug17_18	1
2010Aug17_21	4
2010Aug17_23	2
2010Aug18_00	1
2010Aug18_02	1
2010Aug18_09	1
2010Aug18_11	1
2010Aug18_15	1
2010Aug18_16	1
2010Aug18_18	2
2010Aug18_19	1
2010Aug18_20	2
2010Aug18_22	1
2010Aug19_00	2
2010Aug19_01	1
2010Aug19_02	1
2010Aug19_13	1
2010Aug19_15	4
2010Aug19_16	1
2010Aug19_22	1
2010Aug20_02	1
2010Aug20_05	1
2010Aug20_10	1
2010Aug20_12	5
2010Aug20_13	1
2010Aug20_14	1
2010Aug20_16	5
2010Aug20_18	3
2010Aug20_19	2
2010Aug20_23	1
2010Aug21_00	1
2010Aug21_02	1
2010Aug21_06	3
2010Aug21_12	1
2010Aug21_13	1
2010Aug21_14	1
2010Aug21_16	12
2010Aug21_17	1
2010Aug21_21	1
2010Aug22_00	3
2010Aug22_03	1
2010Aug22_09	1
2010Aug22_13	1
2010Aug22_14	2
2010Aug22_15	1
2010Aug22_18	3
2010Aug22_20	1
2010Aug22_21	1
2010Aug23_00	3
2010Aug23_01	2
2010Aug23_02	1
2010Aug23_09	3
2010Aug23_10	1
2010Aug23_13	3
2010Aug23_15	4
2010Aug23_20	1
2010Aug23_22	1
2010Aug23_23	1
2010Aug24_02	2
2010Aug24_03	2
2010Aug24_06	2
2010Aug24_07	1
2010Aug24_12	1
2010Aug24_18	1
2010Aug24_19	1
2010Aug24_21	1
2010Aug24_22	1
2010Aug24_23	1
2010Aug25_00	3
2010Aug25_08	4
2010Aug25_09	1
2010Aug25_20	6
2010Aug25_21	2
2010Aug25_22	2
2010Aug26_00	2
2010Aug26_02	4
2010Aug26_03	1
2010Aug26_05	1
2010Aug26_10	3
2010Aug26_11	2
2010Aug26_15	1
2010Aug26_18	1
2010Aug26_19	2
2010Aug26_20	1
2010Aug26_22	2
2010Aug27_05	1
2010Aug27_06	1
2010Aug27_09	1
2010Aug27_12	1
2010Aug27_13	1
2010Aug27_16	1
2010Aug27_19	1
2010Aug27_20	2
2010Aug27_21	1
2010Aug28_00	1
2010Aug28_01	1
2010Aug28_04	1
2010Aug28_05	2
2010Aug28_14	1
2010Aug28_15	1
2010Aug28_22	1
2010Aug28_23	1
2010Aug29_13	1
2010Aug29_15	1
2010Aug29_21	5
2010Aug29_22	2
2010Aug30_03	3
2010Aug30_05	1
2010Aug30_07	1
2010Aug30_08	1
2010Aug30_13	1
2010Aug30_14	1
2010Aug30_15	3
2010Aug30_16	2
2010Aug30_17	1
2010Aug30_18	1
2010Aug30_20	2
2010Aug31_01	1
2010Aug31_02	1
2010Aug31_03	1
2010Aug31_05	1
2010Aug31_07	2
2010Aug31_10	1
2010Aug31_11	1
2010Aug31_13	1
2010Aug31_14	1
2010Aug31_17	2
2010Aug31_19	2
2010Dec01_00	1
2010Dec01_01	5
2010Dec01_02	3
2010Dec01_04	1
2010Dec01_05	2
2010Dec01_06	2
2010Dec01_08	2
2010Dec01_10	1
2010Dec01_11	4
2010Dec01_13	2
2010Dec01_15	4
2010Dec01_16	2
2010Dec01_17	1
2010Dec01_18	1
2010Dec01_19	4
2010Dec01_20	23
2010Dec01_21	3
2010Dec01_22	3
2010Dec01_23	3
2010Dec02_01	1
2010Dec02_02	1
2010Dec02_03	1
2010Dec02_06	4
2010Dec02_07	1
2010Dec02_08	2
2010Dec02_10	1
2010Dec02_13	13
2010Dec02_15	2
2010Dec02_16	2
2010Dec02_17	4
2010Dec02_18	5
2010Dec02_19	4
2010Dec02_20	1
2010Dec02_21	2
2010Dec02_22	3
2010Dec02_23	4
2010Dec03_00	7
2010Dec03_01	2
2010Dec03_02	2
2010Dec03_03	1
2010Dec03_06	1
2010Dec03_10	1
2010Dec03_11	2
2010Dec03_12	1
2010Dec03_14	4
2010Dec03_16	2
2010Dec03_17	3
2010Dec03_19	2
2010Dec03_20	4
2010Dec03_21	2
2010Dec03_22	3
2010Dec03_23	4
2010Dec04_00	6
2010Dec04_01	1
2010Dec04_02	1
2010Dec04_03	3
2010Dec04_05	3
2010Dec04_10	1
2010Dec04_11	12
2010Dec04_13	8
2010Dec04_14	3
2010Dec04_16	1
2010Dec04_17	2
2010Dec04_18	1
2010Dec04_19	2
2010Dec04_20	3
2010Dec04_21	2
2010Dec04_22	1
2010Dec04_23	1
2010Dec05_00	2
2010Dec05_01	1
2010Dec05_02	2
2010Dec05_03	2
2010Dec05_04	2
2010Dec05_06	3
2010Dec05_10	2
2010Dec05_12	1
2010Dec05_13	2
2010Dec05_14	1
2010Dec05_15	3
2010Dec05_17	3
2010Dec05_18	5
2010Dec05_19	4
2010Dec05_20	4
2010Dec05_21	2
2010Dec05_22	5
2010Dec05_23	1
2010Dec06_00	2
2010Dec06_01	2
2010Dec06_02	3
2010Dec06_03	2
2010Dec06_06	7
2010Dec06_08	1
2010Dec06_09	1
2010Dec06_11	1
2010Dec06_12	2
2010Dec06_13	5
2010Dec06_14	3
2010Dec06_15	2
2010Dec06_16	7
2010Dec06_17	2
2010Dec06_18	1
2010Dec06_19	5
2010Dec06_20	3
2010Dec06_21	2
2010Dec06_22	11
2010Dec06_23	6
2010Dec07_00	4
2010Dec07_01	1
2010Dec07_02	3
2010Dec07_03	1
2010Dec07_04	1
2010Dec07_06	1
2010Dec07_08	2
2010Dec07_09	2
2010Dec07_10	1
2010Dec07_11	1
2010Dec07_12	5
2010Dec07_13	3
2010Dec07_14	3
2010Dec07_15	2
2010Dec07_16	5
2010Dec07_17	3
2010Dec07_18	1
2010Dec07_19	3
2010Dec07_20	6
2010Dec07_21	3
2010Dec07_22	1
2010Dec08_00	3
2010Dec08_01	3
2010Dec08_02	3
2010Dec08_03	1
2010Dec08_05	1
2010Dec08_07	2
2010Dec08_08	1
2010Dec08_11	4
2010Dec08_12	2
2010Dec08_13	2
2010Dec08_15	2
2010Dec08_16	1
2010Dec08_18	3
2010Dec08_19	4
2010Dec08_20	4
2010Dec08_21	1
2010Dec08_22	9
2010Dec08_23	3
2010Dec09_00	3
2010Dec09_02	3
2010Dec09_03	13
2010Dec09_04	1
2010Dec09_05	2
2010Dec09_07	1
2010Dec09_09	5
2010Dec09_10	5
2010Dec09_12	4
2010Dec09_13	1
2010Dec09_14	3
2010Dec09_15	1
2010Dec09_16	3
2010Dec09_17	5
2010Dec09_18	2
2010Dec09_19	3
2010Dec09_20	2
2010Dec09_21	8
2010Dec09_22	6
2010Dec09_23	3
2010Dec10_00	2
2010Dec10_01	2
2010Dec10_02	4
2010Dec10_03	1
2010Dec10_05	1
2010Dec10_07	1
2010Dec10_08	5
2010Dec10_10	2
2010Dec10_11	1
2010Dec10_12	1
2010Dec10_13	7
2010Dec10_14	7
2010Dec10_15	3
2010Dec10_16	1
2010Dec10_17	3
2010Dec10_18	2
2010Dec10_19	9
2010Dec10_20	6
2010Dec10_21	2
2010Dec10_22	4
2010Dec10_23	2
2010Dec11_00	1
2010Dec11_01	4
2010Dec11_02	7
2010Dec11_03	2
2010Dec11_04	2
2010Dec11_05	1
2010Dec11_07	2
2010Dec11_08	2
2010Dec11_10	2
2010Dec11_11	5
2010Dec11_13	1
2010Dec11_14	1
2010Dec11_15	1
2010Dec11_16	1
2010Dec11_17	4
2010Dec11_18	2
2010Dec11_19	6
2010Dec11_20	5
2010Dec11_21	1
2010Dec11_22	20
2010Dec11_23	3
2010Dec12_01	7
2010Dec12_02	2
2010Dec12_03	1
2010Dec12_04	3
2010Dec12_05	1
2010Dec12_06	1
2010Dec12_07	2
2010Dec12_08	2
2010Dec12_09	1
2010Dec12_10	1
2010Dec12_11	4
2010Dec12_12	3
2010Dec12_14	1
2010Dec12_15	4
2010Dec12_16	5
2010Dec12_17	3
2010Dec12_18	2
2010Dec12_20	4
2010Dec12_21	3
2010Dec12_22	3
2010Dec12_23	3
2010Dec13_00	3
2010Dec13_01	4
2010Dec13_02	3
2010Dec13_03	4
2010Dec13_05	3
2010Dec13_06	1
2010Dec13_07	1
2010Dec13_08	11
2010Dec13_09	1
2010Dec13_10	2
2010Dec13_11	5
2010Dec13_12	4
2010Dec13_13	2
2010Dec13_14	1
2010Dec13_15	4
2010Dec13_16	1
2010Dec13_17	3
2010Dec13_18	4
2010Dec13_19	9
2010Dec13_20	4
2010Dec13_21	2
2010Dec13_22	4
2010Dec13_23	5
2010Dec14_00	5
2010Dec14_01	2
2010Dec14_02	6
2010Dec14_03	5
2010Dec14_04	1
2010Dec14_05	6
2010Dec14_06	3
2010Dec14_07	1
2010Dec14_08	1
2010Dec14_09	4
2010Dec14_10	2
2010Dec14_12	2
2010Dec14_13	9
2010Dec14_14	3
2010Dec14_15	4
2010Dec14_16	7
2010Dec14_17	5
2010Dec14_18	5
2010Dec14_19	6
2010Dec14_20	8
2010Dec14_21	3
2010Dec14_22	7
2010Dec14_23	8
2010Dec15_00	3
2010Dec15_01	3
2010Dec15_02	3
2010Dec15_03	5
2010Dec15_04	3
2010Dec15_05	2
2010Dec15_06	1
2010Dec15_08	1
2010Dec15_09	3
2010Dec15_10	1
2010Dec15_11	2
2010Dec15_12	6
2010Dec15_13	4
2010Dec15_14	3
2010Dec15_15	6
2010Dec15_16	5
2010Dec15_17	10
2010Dec15_18	5
2010Dec15_19	2
2010Dec15_20	14
2010Dec15_21	7
2010Dec15_22	4
2010Dec15_23	3
2010Dec16_00	15
2010Dec16_01	3
2010Dec16_02	2
2010Dec16_03	2
2010Dec16_04	2
2010Dec16_05	4
2010Dec16_06	2
2010Dec16_07	1
2010Dec16_09	1
2010Dec16_10	1
2010Dec16_12	2
2010Dec16_13	2
2010Dec16_14	4
2010Dec16_15	6
2010Dec16_16	4
2010Dec16_17	13
2010Dec16_18	8
2010Dec16_19	3
2010Dec16_20	8
2010Dec16_21	6
2010Dec16_22	9
2010Dec16_23	6
2010Dec17_00	2
2010Dec17_01	3
2010Dec17_02	5
2010Dec17_03	3
2010Dec17_04	1
2010Dec17_05	1
2010Dec17_07	1
2010Dec17_10	3
2010Dec17_11	1
2010Dec17_12	3
2010Dec17_13	1
2010Dec17_14	5
2010Dec17_15	2
2010Dec17_16	4
2010Dec17_17	3
2010Dec17_18	11
2010Dec17_19	2
2010Dec17_20	2
2010Dec17_21	1
2010Dec17_22	4
2010Dec17_23	2
2010Dec18_00	1
2010Dec18_01	6
2010Dec18_02	4
2010Dec18_03	4
2010Dec18_04	2
2010Dec18_05	2
2010Dec18_07	1
2010Dec18_09	2
2010Dec18_10	1
2010Dec18_11	2
2010Dec18_13	2
2010Dec18_15	3
2010Dec18_16	6
2010Dec18_17	1
2010Dec18_18	1
2010Dec18_19	5
2010Dec18_20	8
2010Dec18_21	1
2010Dec18_22	4
2010Dec18_23	4
2010Dec19_00	2
2010Dec19_01	3
2010Dec19_02	3
2010Dec19_03	1
2010Dec19_04	2
2010Dec19_05	1
2010Dec19_06	1
2010Dec19_07	2
2010Dec19_09	3
2010Dec19_13	4
2010Dec19_15	3
2010Dec19_16	13
2010Dec19_17	4
2010Dec19_18	3
2010Dec19_19	5
2010Dec19_20	2
2010Dec19_21	6
2010Dec19_22	7
2010Dec19_23	7
2010Dec20_00	3
2010Dec20_01	5
2010Dec20_02	2
2010Dec20_03	3
2010Dec20_04	7
2010Dec20_05	2
2010Dec20_06	6
2010Dec20_07	2
2010Dec20_08	2
2010Dec20_10	1
2010Dec20_11	2
2010Dec20_12	4
2010Dec20_13	2
2010Dec20_14	6
2010Dec20_15	6
2010Dec20_16	4
2010Dec20_17	5
2010Dec20_18	3
2010Dec20_19	6
2010Dec20_20	1
2010Dec20_21	3
2010Dec20_22	7
2010Dec20_23	4
2010Dec21_00	6
2010Dec21_01	6
2010Dec21_02	3
2010Dec21_03	4
2010Dec21_04	7
2010Dec21_05	1
2010Dec21_06	1
2010Dec21_07	3
2010Dec21_08	1
2010Dec21_09	2
2010Dec21_11	2
2010Dec21_12	2
2010Dec21_13	6
2010Dec21_15	3
2010Dec21_16	5
2010Dec21_17	3
2010Dec21_18	2
2010Dec21_19	5
2010Dec21_20	5
2010Dec21_21	3
2010Dec21_22	5
2010Dec21_23	25
2010Dec22_00	4
2010Dec22_01	4
2010Dec22_02	4
2010Dec22_03	2
2010Dec22_04	3
2010Dec22_05	1
2010Dec22_06	1
2010Dec22_07	3
2010Dec22_09	1
2010Dec22_10	2
2010Dec22_11	1
2010Dec22_12	1
2010Dec22_13	4
2010Dec22_14	5
2010Dec22_15	4
2010Dec22_16	6
2010Dec22_17	31
2010Dec22_18	5
2010Dec22_19	3
2010Dec22_20	9
2010Dec22_21	3
2010Dec22_22	4
2010Dec22_23	11
2010Dec23_00	6
2010Dec23_01	18
2010Dec23_02	1
2010Dec23_03	3
2010Dec23_04	3
2010Dec23_05	2
2010Dec23_06	2
2010Dec23_07	2
2010Dec23_09	1
2010Dec23_10	1
2010Dec23_12	5
2010Dec23_13	3
2010Dec23_14	6
2010Dec23_15	3
2010Dec23_16	20
2010Dec23_17	7
2010Dec23_18	45
2010Dec23_19	5
2010Dec23_20	7
2010Dec23_21	5
2010Dec23_22	5
2010Dec23_23	5
2010Dec24_00	2
2010Dec24_01	1
2010Dec24_02	3
2010Dec24_03	3
2010Dec24_04	2
2010Dec24_06	2
2010Dec24_07	1
2010Dec24_08	1
2010Dec24_09	2
2010Dec24_10	1
2010Dec24_11	7
2010Dec24_12	1
2010Dec24_13	1
2010Dec24_14	2
2010Dec24_15	1
2010Dec24_16	2
2010Dec24_17	7
2010Dec24_18	5
2010Dec24_19	4
2010Dec24_20	3
2010Dec24_21	1
2010Dec24_22	9
2010Dec24_23	5
2010Dec25_01	5
2010Dec25_02	1
2010Dec25_03	8
2010Dec25_05	2
2010Dec25_06	4
2010Dec25_07	2
2010Dec25_08	1
2010Dec25_10	4
2010Dec25_12	6
2010Dec25_13	1
2010Dec25_14	5
2010Dec25_15	2
2010Dec25_16	3
2010Dec25_17	1
2010Dec25_19	1
2010Dec25_20	4
2010Dec25_21	1
